ID,Date,Home,Away,Half_Status,Time,Game_Time,Game_Seconds,Home_Score,Away_Score,Event_Team,Event_Description,Player_1,Player_2,Event_Type,Event_Result,Shot_Value,Event_Length,Poss_Num,Poss_Team,Poss_Length,isTransition,Home.1,Home.2,Home.3,Home.4,Home.5,Away.1,Away.2,Away.3,Away.4,Away.5,Status,isGarbageTime,Sub_Deviate
4982542,NA,Duke,Coppin St.,1,16:33:00,03:27:00,207,6,10,Duke,"Joey Baker, rebound offensive",JOEY.BAKER,NA,Offensive Rebound,NA,NA,3,13,Duke,17,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,16:32:00,03:28:00,208,8,10,Duke,"Joey Baker, 2pt drivinglayup 2ndchance;pointsinthepaint;  made",JOEY.BAKER,NA,Layup,made,2,1,13,Duke,18,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,16:03:00,03:57:00,237,8,10,Coppin St.,"Anthony Tarke, 2pt stepbackjumpshot pointsinthepaint;  missed",ANTHONY.TARKE,NA,Two Point Jumper,missed,2,29,14,Coppin St.,29,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,16:00:00,04:00:00,240,8,10,Duke,"Joey Baker, rebound defensive",JOEY.BAKER,NA,Defensive Rebound,NA,NA,3,14,Coppin St.,32,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Coppin St.,"Dejuan Clayton, foul personal",DEJUAN.CLAYTON,NA,Commits Foul,NA,NA,5,15,Duke,5,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Duke,"Matthew Hurt, foulon",MATTHEW.HURT,NA,Draw Foul,NA,NA,0,15,Duke,5,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Coppin St.,"Chereef Knox, substitution in",CHEREEF.KNOX,NA,Enters Game,NA,NA,0,15,Duke,5,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Duke,"Jalen Johnson, substitution out",JALEN.JOHNSON,NA,Leaves Game,NA,NA,0,15,Duke,5,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Coppin St.,"Koby Thomas, substitution out",KOBY.THOMAS,NA,Leaves Game,NA,NA,0,15,Duke,5,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Duke,"Wendell Moore Jr., substitution out",WENDELL.MOORE,NA,Leaves Game,NA,NA,0,15,Duke,5,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
